Preferred Prefix	Alt-prefix	Provider Base URI	Alternative Base URI	MIRIAM	BiodbcoreID	BioPortal Ontology ID	identifiers.org	Abbreviation	Title	Description	PubMed ID	Organization	Type (warehouse, dataset or terminology)	Keywords	Homepage	Functional?	sub-namespace in dataset	part of collection	License URL	License Text	Rights	ID regex	ExampleID	Provider HTML URL		MIRIAM checked	MIRIAM curator notes	MIRIAM coverage	updates	year last accessible	wayback url	last updated	last updated by	last updated by (orcid)
costart						1341		COSTART	COSTART	Coding Symbols for Thesaurus of Adverse Reaction Terms (COSTART). 5th ed. Rockville (MD). COSTART is used for coding, filing, and retrieving post-marketing adverse drug and biologic experience reports. COSTART is organized in body system and pathophysiology hierarchies, as well as a separate fetal/neonatal category of less than 20 terms. COSTART has been superseded by the Medical Dictionary for Regulatory Activities (MedDRA) Terminology. For more information about MedDRA in the Metathesaurus, see the MedDRA source synopsis. COSTART was last updated in the Metathesaurus in 1999.			terminology		http://www.ntis.gov/fcpc/cpn5580.htm												unresolved link 	omitted						
covdb								CoVDB	Coronavirus Database	Coronavirus became a research hot spot after the outbreak of SARS in 2003. During two years study, our group identified three genotypes of CoV-HKU1 from patients and first documented recombination within human coronavirus (PubMed). At least eight bat coronaviruses were also identified by us (PubMed). This website intends to organize the genomic information and knowledge of known coronaviruses and provides some tools for sequence analysis.		University of Hong Kong			http://covdb.microbiology.hku.hk							^\d+$	8088	N/A			only seems to provide some limited view of NCBI data. Should not be a namespace, but possibly a resource for INSDC for example	omitted						
coxpresdb								COXPRESdb	COXPRESdb; co-expressed gene database	COXPRESdb provides co-regulated gene relationships to estimate gene functions.		HGC		gene, regulation	http://coxpresdb.hgc.jp/									http://coxpresdb.jp/tis_map/$id/			The example link here seems wrong - I found one to gene and added that to curation	curation						
cpndb	cpn							cpnDB	A Chaperonin Database	cpnDB is a curated collection of chaperonin sequence data collected from public databases or generated by a network of collaborators exploiting the cpn60 target in clinical, phylogenetic and microbial ecology studies. The database contains all available sequences for both group I and group II chaperonins.		University of Saskatchewan		protein	http://cpndb.cbr.nrc.ca/							b\d+	b10409	http://cpndb.cbr.nrc.ca/getRecord.php?id=$id				omitted						
cpo		http://phenomebrowser.net/cellphenotype.owl#				3020		CPO	Cell Phenotype Ontology	An ontology of cellular phenotype. Primarily focused on cell physiology phenotypes.	22539675	PhenomeNet	terminology		http://code.google.com/p/cell-phenotype/								C3PO:000000015	http://phenomebrowser.net/cellphenotype.owl#$id				omitted						
cpr		http://purl.org/cpr/	http://purl.org/cpr/0.85#, http://bioontology.org/wiki/index.php/DallasWorkshop#					CPR	Computer-based Patient Record Ontology				terminology		http://code.google.com/p/cpr-ontology/								abnormal-homeostasis	http://purl.org/cpr/$id			unresolved url	omitted						
cpro						1059		CPRO	Computer-Based Patient Record Ontology	A uniform core set of data elements (whose formal semantics are captured in OWL) for use in a Computer-Based Patient Record (CPR)			terminology	medical	https://code.google.com/p/cpr-ontology/													omitted						
cpt						1504		CPT	Current Procedural Terminology	Current Procedural Terminology			terminology		http://www.ama-assn.org/ama/pub/category/3113.html													omitted						
cptac						1192		CPTAC	Proteomics Pipeline Infrastructure for CPTAC	a basic ontology which describes the proteomics pipeline infrastructure for CPTAC project			terminology															omitted						
cremofac								CREMOFAC	Chromatin Remodeling Factors	Chromatin remodeling is an important event in the eukaryotic nucleus rendering nucleosomal DNA accessible for various transaction processes. The dynamic nature of chromatin is facilitated by Remodeling Factors through participation of the collective action of (a) ATP and (b) Non-ATP dependent factors. 		Jawaharlal Nehru Centre for Advanced Scientific Research		DNA	http://www.jncasr.ac.in/cremofac/									N/A			main page up, but no data present it seems	omitted						
crest								CR-EST	CR-EST: The IPK Crop EST Database 	The Crop EST Database (CR-EST) is a public available online resource providing access to sequence, classification, clustering, and annotation data of crop EST projects at the IPK.		Leibniz Institute of Plant Genetics and Crop Plant Research		DNA	http://pgrc.ipk-gatersleben.de/cr-est							PSC\d+[a-z]	PSC04L10u	N/A			can't see anything linkable easily. Resource seems outdated (2004). Will write to ask if linking possible	curation	its active - added to curation (4 collections possible)					
crisp						1526		CRISP	Computer Retrieval of Information on Scientific Projects (CRISP) Thesaurus				terminology															omitted						
cryptodb				MIR:00000149				CryptoDB	Cryptosporidum Genomics Resource	CryptoDB is an integrated genomic and functional genomic database for the parasite Cryptosporidium. CryptoDB integrates whole genome sequence and annotation along with experimental data and environmental isolate sequences provided by community researchers, it also includes supplemental bioinformatics analyses and a web interface for data-mining.	16381902	EuPathDB		genome	http://cryptodb.org/cryptodb/			eupathdb				^\w+	cgd7_230	http://cryptodb.org/cryptodb/showRecord.do?name=GeneRecordClasses.GeneRecordClass&source_id=$id		x								
csa				MIR:00000144				CSA	Catalytic Site Atlas	The Catalytic Site Atlas (CSA) is a database documenting enzyme active sites and catalytic residues in enzymes of 3D structure. It uses a defined classification for catalytic residues which includes only those residues thought to be directly involved in some aspect of the reaction catalysed by an enzyme.	14681376	EBI		enzyme, structure	http://www.ebi.ac.uk/thornton-srv/databases/CSA/			ebi				^[0-9][A-Za-z0-9]{3}$	1a05	http://www.ebi.ac.uk/thornton-srv/databases/cgi-bin/CSA/CSA_Site_Wrapper.pl?pdb=$id		x								
csd								CSD	Cambridge Structural Database	The Cambridge Structural Database (CSD) is the world repository for small molecule crystal structures. The CSD is the principal product of the Cambridge Crystallographic Data Centre and is the central focus of the CSD System, which also comprises software for database access, structure visualisation and data analysis, and structural knowledge bases derived from the CSD.		The Cambridge Crystallographic Data Centre 		small molecule	http://www.ccdc.cam.ac.uk/prods/csd/csd.html									N/A				omitted						
csdbase								CSDBase	Cold Shock Domain database	CSDBase is an interactive Internet-embedded research platform providing detailed information on cold shock domain-containing proteins and bacterial cold shock responses. In addition to the updated literature references, protein information and CSD-containing protein structure model content present in CSDBase, we have integrated a new database subcore harboring the entire results of the first DNA macroarray study of cold shocked Bacillus subtilis cells. 		Philipps-University Marburg		protein	http://www.chemie.uni-marburg.de/~csdbase/									N/A			in german only - don't understand a word	omitted						
csndb								CSNDB	Cell Signaling Networks Database																		no resolving url	omitted						
csp								CSP	Cytokine Signaling Pathway Database				dataset														no resolving url	omitted						
csrd								CSRDB	Cereal Small RNA Database	The Cereals Small RNA Database (CSRDB) is an integrated resource for small RNAs expressed in rice and maize that includes a genome browser and a smRNA-target relational database as well as relevant bioinformatic tools. The resource currently contains a preliminary dataset of 35,454 and 68,871 mapped smRNA sequence reads for rice and maize respectively. 		University of California		RNA, genome	http://sundarlab.ucdavis.edu/smrnas/								osa-miR171a	http://sundarlab.ucdavis.edu/cgi-bin/smrna_browse/?name=$id			incorrect link	omitted						
css								CSS	Carbohydrate Structure Suite	Carbohydrate 3D structures derived from the PDB				small molecule													no resolving url	omitted						
cst								CST	Cell Signaling Technology Pathway Database	A small pathway portal for showcasing Cell Signaling Technology phospho-antibody products.  Contains pathway diagrams that are clickable and link to more information about each protein and the commercial products that are available for that protein.		Cell Signaling Technology	dataset	pathway	http://www.cellsignal.com/							^\d+$	3762	http://www.cellsignal.com/products/$id.html			collection for antibodies also added	curation x 2						
ctad								CTAD	Cancer-Testis Antigens database	Cancer-Testis Antigens database		Ludwig Institute for Cancer Research			http://www.cta.lncc.br/							^\d+$	94	http://www.cta.lncc.br/modelo.php?idgene=$id&idmeta=11				curation						
ctcae		http://ncicb.nci.nih.gov/xml/owl/EVS/ctcae.owl#				1415		CTCAE	Common Terminology Criteria for Adverse Events	A coding system for reporting adverse events that occur in the course of cancer therapy.  It was derived from the Common Toxicity Criteria (CTC) v2.0 and is maintained by the Cancer Therapy Evaluation Program (CTEP) at the National Cancer Institution (NCI).										unstated			Grade_4_Colonic_perforation	http://ncicb.nci.nih.gov/xml/owl/EVS/ctcae.owl#$id				omitted						
ctd				MIR:00000098, MIR:00000099, MIR:00000100				CTD	Comparative Toxicogenomics Database	CTD includes manually curated data describing cross-species chemical-gene/protein interactions and chemical- and gene-disease relationships to illuminate molecular mechanisms underlying variable susceptibility and environmentally influenced diseases.	16675512	Mount Desert Island Biological Laboratory	dataset	gene, protein, interaction	http://ctd.mdibl.org					The Comparative Toxicogenomics Database is to be used only for research and educational purposes. Any reproduction or use for commercial purpose is prohibited without the prior express written permission of The Mount Desert Island Biological Laboratory.	free for research and education; commercial license		ctd_resource:D001151406949	http://ctd.mdibl.org/detail.go?type=chem&acc=$id		x	ctd is split into 3 collections in MIRIAM as it refers to different things (chemicals, diseases and genes). They are not all identified with the same identifier type (gene is just digits, while others begin with Dxxx). Probably best to aplit these.							
ctdb								CTDB	Calmodulin Target Database	CTDB contains sequences known to bind calmodulin (usually in the presence of calcium). The sequences are categorized according to binding motif.		University of Toronto		DNA	http://calcium.uhnres.utoronto.ca/ctdb/flash.htm									N/A			no resolving url	omitted						
ctga								CTGA	Catalogue of Transmission Genetics in Arabs	The Centre for Arab Genomic Studies (CAGS) initiated the ambitious project to establish the CTGA (Catalogue of Transmission Genetics in Arabs) database for genetic disorders in Arabs with the aim to enlighten the scientific community and the public on the occurrence of inherited disorders in Arabs and to suggest future investigation strategies.		Centre for Arab Genomic Studies		genome	http://www.cags.org.ae							^\d+$	33771	http://www.cags.org.ae/FMPro?-db=ctga.fp5&-format=/ctga/ctga_detail.html&-lay=main&Record_Category=Gene%20locus&-max=30&-recid=$id&-find=			incorrect link	omitted						
